注文日,商品名,付帯情報,価格
2020/5/13,君が僕らを悪魔と呼んだ頃（３） (マガジンポケットコミックス),[Kindle 版] さの隆  販売: 株式会社 講談社,462
2020/5/13,君が僕らを悪魔と呼んだ頃（４） (マガジンポケットコミックス),[Kindle 版] さの隆  販売: 株式会社 講談社,462
2020/5/13,君が僕らを悪魔と呼んだ頃（５） (マガジンポケットコミックス),[Kindle 版] さの隆  販売: 株式会社 講談社,462
2020/5/13,君が僕らを悪魔と呼んだ頃（６） (マガジンポケットコミックス),[Kindle 版] さの隆  販売: 株式会社 講談社,462
2020/5/13,君が僕らを悪魔と呼んだ頃（７） (マガジンポケットコミックス),[Kindle 版] さの隆  販売: 株式会社 講談社,462
2020/5/13,君が僕らを悪魔と呼んだ頃（８） (マガジンポケットコミックス),[Kindle 版] さの隆  販売: 株式会社 講談社,462
2020/5/13,君が僕らを悪魔と呼んだ頃（９） (マガジンポケットコミックス),[Kindle 版] さの隆  販売: 株式会社 講談社,462
2020/5/19,彼女、お借りします（４） (週刊少年マガジンコミックス),[Kindle 版] 宮島礼吏  販売: 株式会社 講談社,462
2020/5/19,彼女、お借りします（５） (週刊少年マガジンコミックス),[Kindle 版] 宮島礼吏  販売: 株式会社 講談社,462
2020/5/26,恋の罪（２） (アフタヌーンコミックス),[Kindle 版] 如月芳規  販売: 株式会社 講談社,660
2020/5/26,恋の罪（３） (アフタヌーンコミックス),[Kindle 版] 如月芳規  販売: 株式会社 講談社,660
2020/5/29,当て屋の椿 16 (ヤングアニマルコミックス),[Kindle 版] 川下寛次  販売: 株式会社 白泉社,660
2020/5/30,ヒロインは絶望しました。（１） (マガジンポケットコミックス),[Kindle 版] 千田大輔  販売: 株式会社 講談社,462
2020/5/30,ヒロインは絶望しました。（２） (マガジンポケットコミックス),[Kindle 版] 千田大輔  販売: 株式会社 講談社,462
2020/6/7,だらしない夫じゃなくて依存症でした,"[Kindle 版] 三森 みさ, 今成 知美, 島内 理恵, 田中 紀子, 松井 由美, 松本 俊彦, 村瀬 華子  販売: Amazon Services International LLC",1430
2020/6/12,親愛なる僕へ殺意をこめて（４） (ヤングマガジンコミックス),"[Kindle 版] 井龍一, 伊藤翔太  販売: 株式会社 講談社",660
2020/6/12,親愛なる僕へ殺意をこめて（５） (ヤングマガジンコミックス),"[Kindle 版] 井龍一, 伊藤翔太  販売: 株式会社 講談社",660
2020/6/12,親愛なる僕へ殺意をこめて（６） (ヤングマガジンコミックス),"[Kindle 版] 井龍一, 伊藤翔太  販売: 株式会社 講談社",660
2020/6/12,親愛なる僕へ殺意をこめて（７） (ヤングマガジンコミックス),"[Kindle 版] 井龍一, 伊藤翔太  販売: 株式会社 講談社",660
2020/6/12,親愛なる僕へ殺意をこめて（８） (ヤングマガジンコミックス),"[Kindle 版] 井龍一, 伊藤翔太  販売: 株式会社 講談社",693
2020/6/12,親愛なる僕へ殺意をこめて（８） (ヤングマガジンコミックス),"[Kindle 版] 井龍一, 伊藤翔太  販売: 株式会社 講談社",693
2020/6/12,親愛なる僕へ殺意をこめて（９） (ヤングマガジンコミックス),"[Kindle 版] 井龍一, 伊藤翔太  販売: 株式会社 講談社",759
2020/6/21,弟の夫 ： 2 (アクションコミックス),[Kindle 版] 田亀源五郎  販売: Amazon Services International LLC,594
2020/6/21,弟の夫 ： 3 (アクションコミックス),[Kindle 版] 田亀源五郎  販売: Amazon Services International LLC,594
2020/6/21,弟の夫 ： 4 (アクションコミックス),[Kindle 版] 田亀源五郎  販売: Amazon Services International LLC,594
2020/6/22,サユリ (1) (バーズコミックス),[Kindle 版] 押切蓮介  販売: Amazon Services International LLC,649
2020/6/22,サユリ (2) (バーズコミックス),[Kindle 版] 押切蓮介  販売: Amazon Services International LLC,649
2020/6/22,ミスミソウ 完全版 ： 6 (アクションコミックス),[Kindle 版] 押切蓮介  販売: Amazon Services International LLC,396
2020/6/28,おくることば（３） (シリウスコミックス),[Kindle 版] 町田とし子  販売: 株式会社 講談社,660
2020/7/4,ゴールデンゴールド（７） (モーニングコミックス),[Kindle 版] 堀尾省太  販売: 株式会社 講談社,671
2020/7/7,マイホームヒーロー（１０） (ヤングマガジンコミックス),"[Kindle 版] 山川直輝, 朝基まさし  販売: 株式会社 講談社",660
2020/7/7,マイホームヒーロー（１１） (ヤングマガジンコミックス),"[Kindle 版] 山川直輝, 朝基まさし  販売: 株式会社 講談社",693
2020/7/8,ザ・ファブル（６） (ヤングマガジンコミックス),[Kindle 版] 南勝久  販売: 株式会社 講談社,660
2020/7/8,ザ・ファブル（７） (ヤングマガジンコミックス),[Kindle 版] 南勝久  販売: 株式会社 講談社,660
2020/7/8,ザ・ファブル（８） (ヤングマガジンコミックス),[Kindle 版] 南勝久  販売: 株式会社 講談社,660
2020/7/8,ザ・ファブル（９） (ヤングマガジンコミックス),[Kindle 版] 南勝久  販売: 株式会社 講談社,660
2020/7/8,マイホームヒーロー（７） (ヤングマガジンコミックス),"[Kindle 版] 山川直輝, 朝基まさし  販売: 株式会社 講談社",660
2020/7/8,マイホームヒーロー（８） (ヤングマガジンコミックス),"[Kindle 版] 山川直輝, 朝基まさし  販売: 株式会社 講談社",660
2020/7/8,マイホームヒーロー（９） (ヤングマガジンコミックス),"[Kindle 版] 山川直輝, 朝基まさし  販売: 株式会社 講談社",660
2020/7/9,マイホームヒーロー（５） (ヤングマガジンコミックス),"[Kindle 版] 山川直輝, 朝基まさし  販売: 株式会社 講談社",660
2020/7/9,マイホームヒーロー（６） (ヤングマガジンコミックス),"[Kindle 版] 山川直輝, 朝基まさし  販売: 株式会社 講談社",660
2020/7/9,童貞噺（２） (コミックＤＡＹＳコミックス),[Kindle 版] Ｇｉｎｏ０８０８  販売: 株式会社 講談社,660
